Iter,loss value
0,20.97010909964381
100,6.163513455793447
200,5.361121070216383
300,5.293076357650798
400,5.286510406243207
500,5.284926009866857
600,5.284019083576
700,5.283416216669927
800,5.283014056019987
900,5.2827453516394804
1000,5.282564862184932
1100,5.282442984802373
1200,5.282360371563424
1300,5.282304245172571
1400,5.282266070972546
1500,5.282240098026036
1600,5.282222428928444
1700,5.282210413694571
1800,5.282202247579871
1900,5.282196700800099
2000,5.282192935432641
2100,5.282190380811073
2200,5.282188648532851
2300,5.282187474437261
2400,5.282186678995348
2500,5.282186140282444
2600,5.282185775550105
2700,5.282185528672238
2800,5.282185361600619
2900,5.282185248554408
3000,5.28218517207214
3100,5.282185120331231
3200,5.282185085329343
3300,5.282185061651219
3400,5.282185045632998
3500,5.282185034796119
3600,5.2821850274640365
3700,5.2821850225027625
3800,5.282185019145309
3900,5.282185016872905
4000,5.28218501533466
4100,5.282185014293214
4200,5.282185013587995
4300,5.282185013110365
4400,5.282185012786815
4500,5.282185012567594
4600,5.282185012419032
4700,5.282185012318332
4800,5.28218501225006
4900,5.282185012203763
5000,5.28218501217236
5100,5.282185012151056
5200,5.282185012136599
5300,5.282185012126787
5400,5.2821850121201255
5500,5.282185012115603
5600,5.282185012112531
5700,5.2821850121104434
5800,5.282185012109025
5900,5.282185012108061
6000,5.282185012107406
6100,5.282185012106961
6200,5.282185012106658
6300,5.282185012106452
6400,5.282185012106312
6500,5.282185012106217
6600,5.282185012106152
6700,5.282185012106107
6800,5.282185012106077
6900,5.282185012106058
7000,5.282185012106043
7100,5.282185012106034
7200,5.282185012106027
7300,5.282185012106023
7400,5.28218501210602
7500,5.282185012106018
7600,5.282185012106017
7700,5.282185012106016
7800,5.282185012106015
7900,5.282185012106015
8000,5.282185012106014
8100,5.282185012106013
8200,5.282185012106013
8300,5.282185012106013
8400,5.282185012106013
8500,5.282185012106013
8600,5.282185012106013
8700,5.282185012106013
8800,5.282185012106013
8900,5.282185012106013
9000,5.282185012106013
9100,5.282185012106013
9200,5.282185012106013
9300,5.282185012106013
9400,5.282185012106013
9500,5.282185012106013
9600,5.282185012106013
9700,5.282185012106013
9800,5.282185012106013
9900,5.282185012106013
9999,5.282185012106013
